Membership No  Date Joined  Active  
    18892      2019-4-1     no    
    90557      2015-6-17    no    
    50399      2020-1-15    no    
    57157      2017-2-4     no    
    40346      2017-5-25    no    
    71087      2017-12-8    no    
    90545      2015-8-9     no    
    60985      2016-4-6     no    
    21496      2020-2-22    no    
    56977      2019-2-20    no    
    33046      2017-4-25    no    
    12552      2019-11-24   no    
    81556      2015-9-19    no    
    26100      2020-5-12    no    
    44825      2018-5-6     no    
    56977      2019-2-20    no    
    33046      2017-4-25    no    
    12552      2019-11-24   no    
    81556      2015-9-19    no    
    26100      2020-5-12    no    
    44825      2018-5-6     no    
