Membership No  Date Joined  Active  
    48773      2019-9-11    no    
    18116      2019-1-21    yes   
    87309      2016-2-23    yes   
    95384      2017-7-5     no    
    79035      2017-11-19   no    
    99718      2020-5-16    no    
    68429      2017-5-2     yes   
    61765      2015-11-11   yes   
    11790      2015-8-23    yes   
    63698      2019-9-4     yes   
    30444      2016-4-9     no    
    80858      2020-9-11    yes   
    65712      2020-2-13    yes   
    69878      2018-11-1    no    
    72615      2019-7-12    yes   
    53519      2017-4-8     yes   
    32223      2019-7-3     yes   
    76540      2018-12-20   yes   
    15140      2019-11-24   no    
    44123      2016-9-14    yes   
